atm file : ./atm_trans_0_1_10_0_0_0.dat
0.85 969 0.146877 0.713055
0.85 970 0.144852 0.716388
0.85 971 0.150707 0.706794
0.85 972 0.167059 0.680677
0.85 973 0.195954 0.636863
0.85 974 0.226524 0.593576
0.85 975 0.236989 0.579443
0.85 976 0.204813 0.624003
0.85 977 0.169445 0.676948
0.85 978 0.174413 0.669248
0.85 979 0.150765 0.7067
0.85 980 0.115523 0.766438
0.85 981 0.114177 0.768817
0.85 982 0.116983 0.763866
0.85 983 0.092115 0.808882
0.85 984 0.07327 0.844754
0.85 985 0.059538 0.871891
0.85 986 0.045992 0.899514
0.85 987 0.041656 0.90854
0.85 988 0.039625 0.912799
0.85 989 0.038169 0.915864
0.85 990 0.035886 0.920691
0.85 991 0.031336 0.930388
0.85 992 0.029892 0.933486
0.85 993 0.027937 0.937698
0.85 994 0.023422 0.947497
0.85 995 0.020815 0.953202
0.85 996 0.021019 0.952754
0.85 997 0.02332 0.94772
0.85 998 0.026087 0.941701
0.85 999 0.026652 0.940477
